episode,return
1,-4556.100749999999
101,-4526.288625000001
201,-4586.309250000001
301,-4566.1513749999995
401,-4551.198125000001
501,-4703.8658749999995
601,-4607.851875
701,-4556.25175
801,-4451.182625000002
901,-4636.260375000001
