episode,return
1,-2353.8423750000034
51,-1831.3028750000044
101,-1265.1286249999969
151,-1687.5441249999926
201,-73.31525000000033
251,-32.95362499999999
301,-3455.6951250000006
351,45.81187500000003
401,20.72237499999993
451,20.71874999999993
501,25.67087499999994
551,35.75512499999998
601,20.792749999999955
651,20.70262499999994
701,55.76262500000001
751,55.74775
801,0.7277499999999293
851,5.65912499999996
901,50.76250000000001
951,-3.8613750000000238
1001,-3.673250000000067
