episode,return,success,steps
1,-2183.1208750000087,0,1000
2,-2689.5198750000022,0,1000
3,-1602.6847500000013,1,532
4,-2724.756250000008,0,1000
5,-2343.852750000008,0,1000
6,-2814.6914999999985,0,1000
7,-2443.6575000000166,0,1000
8,-2593.986999999995,0,1000
9,-3031.6036250000125,0,1000
10,-2036.474875000002,0,1000
11,-2222.8440000000032,0,1000
12,-1962.2200000000043,0,1000
13,-2339.045500000002,0,1000
14,-2022.6573749999993,1,949
15,-2062.3587500000044,0,1000
16,-2694.4701250000103,0,1000
17,-1947.2943750000022,0,1000
18,-2554.6977499999957,0,1000
19,-2213.4677500000007,0,1000
20,-2464.4695000000024,0,1000
21,-2519.4112500000015,0,1000
22,-2203.950125000004,0,1000
23,-1955.0425000000032,1,829
24,-2192.9056250000012,0,1000
25,-2444.039375000004,0,1000
26,-2364.0175000000036,0,1000
27,-1997.3993750000009,0,1000
28,-2534.088500000004,0,1000
29,-2117.1136250000045,0,1000
30,-2388.3771250000054,0,1000
31,-2012.9093749999984,0,1000
32,-2047.9527500000067,0,1000
33,-1811.9320000000012,0,1000
34,-2112.3805000000043,0,1000
35,-2028.157375000002,0,1000
36,-2784.9655000000007,0,1000
37,-1588.124375000005,1,916
38,-2269.268375,0,1000
39,-687.6341249999994,1,338
40,-2022.956500000001,0,1000
41,-2453.6363749999996,0,1000
42,-1449.9790000000016,1,722
43,-2028.3227500000007,1,977
44,-1968.0768750000034,0,1000
45,-911.7562499999988,1,499
46,-2343.616125000007,0,1000
47,-1691.8987499999978,0,1000
48,-1782.3657500000002,0,1000
49,-2218.2758750000044,0,1000
50,-1887.0295000000008,0,1000
51,-1807.3180000000007,0,1000
52,-2128.0062500000035,0,1000
53,-2002.997750000005,0,1000
54,-1626.497999999999,0,1000
55,-528.2789999999993,1,295
56,-2329.4766249999934,0,1000
57,-2167.9424999999997,0,1000
58,-288.05599999999987,1,222
59,-1912.6792500000047,0,1000
60,-1997.7807500000013,0,1000
61,-1827.577249999992,0,1000
62,-2525.5669999999895,0,1000
63,-2058.3876250000076,0,1000
64,-505.65924999999834,1,460
65,-202.59600000000006,1,270
66,-1933.9462500000034,1,923
67,-2143.1359999999954,0,1000
68,-1561.767125000007,0,1000
69,-1867.425125000001,0,1000
70,-562.4779999999992,1,363
71,-2048.589124999997,0,1000
72,-1441.4815000000044,0,1000
73,-2057.8407499999994,0,1000
74,-2364.435874999998,0,1000
75,-1682.5778749999997,0,1000
76,-1852.9698750000014,0,1000
77,-1375.630249999999,0,1000
78,-1848.5591250000066,0,1000
79,-1912.6511249999978,0,1000
