agent,step_size,run_id,success_rate_last50,mean_totalreturn_last50,std_totalreturn_last50
DQN,0.5,0,0.0,-151.59902249999988,846.873048805123
DQN,0.5,1,0.0,-106.53237499999906,259.07040980301156
DQN,0.5,2,0.0,-21.164922500000372,65.79172801629728
DQN,0.5,3,0.0,-9.60461500000033,63.19770644311034
DQN,0.5,4,0.0,-95.08513000000018,342.64083528276694
DQN,0.5,5,0.0,14.399707499999838,18.940592257615897
DQN,0.5,6,0.0,-38.09840999999995,91.0332900267914
DQN,0.5,7,0.0,-3.816105000000147,24.49063035473837
DQN,1.0,0,1.0,81.0892075,23.967812891195955
DQN,1.0,1,1.0,44.07222249999999,131.81779906119007
DQN,1.0,2,0.0,-68.68723499999987,63.734067205475256
DQN,1.0,3,0.0,-132.7336699999989,126.15552711261361
DQN,1.0,4,0.0,-24.59673000000011,41.708313069631274
DQN,1.0,5,0.0,-72.156515,38.59021730647043
DQN,1.0,6,0.0,-66.12368749999995,24.32554175565574
DQN,1.0,7,0.0,-61.03169249999999,24.533622131223783
PPO,0.5,0,0.0,-1149.0575174999979,3069.879896096453
PPO,0.5,1,0.0,29.076304999999444,9.810864109709279
PPO,0.5,2,0.0,32.023502499999424,9.394533750672789
PPO,0.5,3,0.0,34.539964999999455,5.855052434292559
PPO,0.5,4,0.0,34.5333024999994,8.341526188672297
PPO,0.5,5,0.0,34.8553699999994,8.308037624931016
PPO,0.5,6,0.0,34.99229249999939,7.787537117324341
PPO,1.0,0,1.0,-310.74576749999983,359.69514530821107
PPO,1.0,1,1.0,-383.17939999999965,419.45316516146386
PPO,1.0,2,0.94,-391.1009799999998,561.0657219680702
PPO,1.0,3,1.0,-276.8735224999999,334.98399922613805
PPO,1.0,4,1.0,-320.6968624999995,417.6303502754179
PPO,1.0,5,1.0,-297.20039499999984,364.25633896004246
PPO,1.0,6,1.0,-297.20039499999984,364.25633896004246
PPO,1.0,7,1.0,-297.20039499999984,364.25633896004246
