episode,return,success,steps
1,-3015.060624999999,0,1000
2,-2254.013374999996,0,1000
3,-2353.7451249999986,0,1000
4,-1426.4436250000024,1,626
5,-2979.6563750000014,0,1000
6,-2498.9670000000156,0,1000
7,-2418.8362500000003,0,1000
8,-2959.992625000001,0,1000
9,-2644.5617500000094,0,1000
10,-1886.4177500000017,0,1000
11,-600.285249999999,1,488
12,-2654.663625000003,0,1000
13,-2429.4341249999984,0,1000
14,-2253.4777499999973,0,1000
15,-1972.1860000000022,0,1000
16,-2609.944374999998,0,1000
17,-2027.4765000000032,0,1000
18,-2443.2793749999996,0,1000
19,-2203.512250000003,0,1000
20,-2568.843000000012,0,1000
21,-787.9506250000004,1,370
22,-2143.003375000003,0,1000
23,-2313.5867499999995,0,1000
24,-2032.6704999999981,0,1000
25,-917.4358749999982,1,449
26,-2453.4803750000005,0,1000
27,-2675.219250000005,0,1000
28,-2062.3412500000018,0,1000
29,-2503.7458749999914,0,1000
30,-2579.3166250000027,0,1000
31,-2729.2912500000025,0,1000
32,-2077.448375,0,1000
33,-1727.1672500000013,0,1000
34,-1881.7645000000032,0,1000
35,-2354.6569999999997,0,1000
36,-2329.061499999999,0,1000
37,-563.7456249999996,1,232
38,-2413.839,0,1000
39,-2359.4073750000075,0,1000
40,-1856.6565000000023,0,1000
41,-1978.2481249999994,0,1000
42,-2137.423625000001,0,1000
43,-2103.2113750000085,0,1000
44,-1705.8665000000005,0,1000
45,-1721.275249999997,0,1000
46,-1978.190250000001,0,1000
47,-1456.034625000003,0,1000
48,-1896.9816250000129,0,1000
49,-1544.035375000007,1,846
50,-651.3477499999993,1,427
51,-2805.103000000003,0,1000
52,-1882.6376249999983,0,1000
53,-1530.9153750000007,0,1000
54,-1897.527875000009,0,1000
55,-1997.9652499999952,0,1000
56,-1453.5338750000112,1,868
57,-1755.9811249999993,0,1000
58,-1606.101624999994,0,1000
59,-2057.503250000001,0,1000
60,-976.3564999999974,1,502
61,-1892.0680000000007,0,1000
62,-1887.1798749999984,0,1000
63,-1827.6405000000022,0,1000
64,-1602.0411250000025,0,1000
65,-1766.9352499999975,0,1000
66,-1360.0151249999979,0,1000
67,-1081.6337500000016,1,542
68,-1190.439499999997,0,1000
69,-1456.3858750000009,0,1000
70,-1957.1465000000023,0,1000
71,-1701.7516250000062,0,1000
72,-1535.6541250000005,0,1000
73,-1881.6169999999968,0,1000
74,-1661.0887500000024,0,1000
75,-1581.662999999998,0,1000
76,-1481.1100000000051,0,1000
77,-798.9372499999979,1,614
78,-2047.4387499999962,0,1000
79,-1475.4799999999932,0,1000
80,-1420.224499999996,0,1000
81,-1746.9481249999958,0,1000
82,-1339.0451250000021,1,811
83,-1591.400624999995,0,1000
84,-1872.396500000008,0,1000
85,-1380.8988749999985,0,1000
86,-1687.6203749999936,0,1000
87,-1591.2721249999943,0,1000
88,-1746.5751249999985,0,1000
89,-1662.179375000014,0,1000
90,-1555.7057499999996,0,1000
91,-1510.7467500000018,0,1000
92,-1631.6483750000004,0,1000
93,-1501.0936249999986,0,1000
94,-1856.5447499999982,0,1000
95,-1491.099499999996,0,1000
96,-1590.8331250000099,0,1000
97,-1425.6789999999996,0,1000
98,-1430.3057500000102,0,1000
99,-1661.975374999999,0,1000
100,-1806.5989999999993,0,1000
101,-1696.2401249999969,0,1000
102,-1481.2009999999977,0,1000
103,-1400.8416249999973,0,1000
104,-2053.0173750000044,0,1000
105,-1315.2988749999972,0,1000
106,-1570.7103750000017,0,1000
107,-1240.0266249999963,0,1000
108,-1089.9221249999973,0,1000
109,-1339.796125000004,0,1000
110,-1330.6529999999977,0,1000
111,-1621.8056250000102,0,1000
112,-1304.5516249999982,0,1000
113,-1159.6407499999957,0,1000
114,-1249.6497499999941,0,1000
115,-664.2016250000001,1,575
116,-1224.7893749999969,0,1000
117,-1731.72125,0,1000
118,-1073.1443749999992,1,766
119,-1219.508249999998,0,1000
120,-1436.1651249999977,0,1000
121,-1234.9579999999964,0,1000
122,-1345.7168750000005,0,1000
123,-1411.2111250000005,0,1000
124,-1135.1916249999965,0,1000
125,-1325.6949999999968,0,1000
126,-1375.722624999995,0,1000
127,-1537.170249999995,0,1000
128,-1196.2882499999953,0,1000
129,-1666.8799999999944,0,1000
130,-1290.8368749999936,0,1000
131,-1312.0767500000081,1,956
132,-1371.2699999999988,0,1000
133,-1081.1142499999978,1,950
134,-1124.9947499999964,0,1000
135,-1180.117624999998,0,1000
136,-1372.2592500000003,0,1000
137,-1411.744874999996,0,1000
138,-1371.2379999999966,0,1000
139,-1030.6013749999947,0,1000
140,-1150.870249999999,0,1000
141,-1241.2913749999957,0,1000
142,-1280.5927500000003,0,1000
143,-1276.015999999995,0,1000
144,-1080.6916249999954,0,1000
145,-1532.0143749999968,0,1000
146,-1225.801624999995,0,1000
147,-1115.9983749999933,0,1000
148,-1151.0391249999946,0,1000
149,-1055.9556249999948,0,1000
150,-1472.5021249999972,0,1000
151,-999.5096249999971,0,1000
152,-1542.4691249999955,0,1000
153,-1180.697374999996,0,1000
154,-1342.0839999999973,0,1000
155,-1166.3042499999956,0,1000
156,-1341.339999999998,0,1000
157,-1241.4206249999966,0,1000
158,-1155.5558749999939,0,1000
159,-995.1036249999944,0,1000
160,-1527.088874999991,0,1000
161,-914.8341249999884,1,999
162,-1065.458749999996,0,1000
163,-1336.196124999993,0,1000
164,-1316.750499999993,0,1000
165,-1055.4847499999953,0,1000
166,-1412.338374999999,0,1000
167,-1105.9344999999964,0,1000
168,-1104.5581249999973,0,1000
169,-955.3709999999971,0,1000
170,-1337.126999999997,0,1000
171,-1201.3907499999953,0,1000
172,-1195.0685000000026,0,1000
173,-1005.015499999994,0,1000
174,-1095.8774999999966,0,1000
175,-1582.1907499999993,0,1000
176,-1155.6792499999992,0,1000
177,-1195.476500000004,0,1000
178,-1219.9788749999996,0,1000
179,-1255.7348749999971,0,1000
180,-1220.1464999999992,0,1000
181,-974.5822499999946,0,1000
182,-995.3948749999955,0,1000
183,-1080.9189999999946,0,1000
184,-1126.702499999996,0,1000
185,-935.3236249999957,0,1000
186,-1106.548124999999,0,1000
187,-969.0656249999968,0,1000
188,-955.5264999999932,0,1000
189,-1111.1214999999977,0,1000
190,-434.680249999999,1,510
191,-1064.4057499999988,0,1000
192,-1224.5908749999992,0,1000
193,-879.3128749999959,0,1000
194,-1245.7148749999933,0,1000
195,-1227.0809999999963,0,1000
196,-975.1016249999955,0,1000
197,-618.9236249999958,0,1000
198,-1241.7204999999974,0,1000
199,-1060.2641249999972,0,1000
200,-878.7174999999979,0,1000
201,-889.2421249999958,0,1000
202,-1130.6747499999976,0,1000
203,-784.5018749999924,0,1000
204,-1043.5053749999934,0,1000
205,-1061.4766249999996,0,1000
206,-974.6183749999893,0,1000
207,-914.5574999999897,0,1000
208,-945.5133749999991,0,1000
209,-1152.9927499999974,0,1000
210,-928.673624999996,0,1000
211,-663.2821249999956,0,1000
212,-753.5944999999967,0,1000
213,-1136.3801249999908,0,1000
214,-673.6567499999935,0,1000
215,-818.9283749999978,0,1000
216,-698.9768749999998,0,1000
217,-839.1126249999949,0,1000
218,-708.906874999998,0,1000
219,-989.0647499999965,0,1000
220,-834.427749999995,0,1000
221,-831.772124999997,0,1000
222,-697.6717499999959,0,1000
223,-1111.2312500000003,0,1000
224,-859.0399999999945,0,1000
225,-844.2208749999976,0,1000
226,-808.8141249999964,0,1000
227,-873.3637499999968,0,1000
228,-738.5789999999956,0,1000
229,-934.328000000004,0,1000
230,-738.9557499999966,0,1000
231,-894.199875000004,0,1000
232,-708.1298750000014,0,1000
233,-994.9133750000044,0,1000
234,-753.9347499999958,0,1000
235,-789.0083750000024,0,1000
236,-653.3495000000004,0,1000
237,-913.9227500000007,0,1000
238,-998.8636250000004,0,1000
239,-783.9158750000009,0,1000
240,-864.1586250000034,0,1000
241,-814.2308750000029,0,1000
242,-562.0958750000026,0,1000
243,-703.4967500000018,0,1000
244,-1546.4792500000083,0,1000
245,-734.329249999992,0,1000
246,-698.238375000001,0,1000
247,-734.1394999999958,0,1000
248,-752.9187499999956,0,1000
249,-683.8754999999977,0,1000
250,-534.0411249999975,0,1000
251,-508.4386249999981,0,1000
252,-614.1602499999947,0,1000
253,-630.2026249999958,0,1000
254,-649.7822499999987,0,1000
255,-864.542749999997,0,1000
256,-734.337999999992,0,1000
257,-805.8026249999891,0,1000
258,-733.9747499999908,0,1000
259,-692.9362499999922,0,1000
260,-754.3652499999899,0,1000
261,-858.5592499999929,0,1000
262,-630.3521249999962,0,1000
263,-814.8622499999883,0,1000
264,-799.8991249999907,0,1000
265,-623.7989999999976,0,1000
266,-669.7019999999898,0,1000
267,-280.19912500000135,1,510
268,-733.5613749999957,0,1000
269,-824.1272499999942,0,1000
270,-577.8041249999956,0,1000
271,-803.842999999996,0,1000
272,-780.4718749999913,0,1000
273,-664.5703749999959,0,1000
274,-952.1053749999979,0,1000
275,-775.3254999999889,0,1000
276,-549.7697499999941,0,1000
277,-610.1387499999938,0,1000
278,-544.749249999996,0,1000
279,-599.3872499999964,0,1000
280,-1056.4332499999957,0,1000
281,-597.3959999999995,0,1000
282,-557.0118749999963,0,1000
283,-648.5908749999945,0,1000
284,-711.0853749999984,0,1000
285,-1273.6176250000035,0,1000
286,-669.0906250000005,0,1000
287,-1188.0553749999995,0,1000
288,-662.1899999999993,0,1000
289,-898.2552499999956,0,1000
290,-536.7245000000044,0,1000
291,-558.2604999999958,0,1000
292,-622.0068749999998,0,1000
293,-628.9861249999927,0,1000
294,-509.31399999999996,0,1000
