episode,return,success,steps
1,-2530.1881250000074,0,1000
2,-2343.2740000000003,0,1000
3,-2548.440499999993,0,1000
4,-2238.6592500000156,0,1000
5,-2670.1698750000046,0,1000
6,-2885.4750000000004,0,1000
7,-2096.999124999997,1,701
8,-2464.2906249999974,0,1000
9,-1790.8498750000006,1,710
10,-2349.020874999996,0,1000
11,-2763.7570000000055,0,1000
12,-3136.0693750000037,0,1000
13,-2929.3483750000046,0,1000
14,-2418.654624999997,0,1000
15,-3973.4854999999975,0,1000
16,-2780.2027499999995,0,1000
17,-3321.9407499999984,0,1000
18,-3406.7777500000075,0,1000
19,-2909.6020000000062,0,1000
20,-2142.676625000001,0,1000
21,-2639.026000000002,0,1000
22,-2750.113500000005,0,1000
23,-3482.179125000008,0,1000
24,-3240.7010000000064,0,1000
25,-2964.374875000013,0,1000
26,-2543.859625000004,0,1000
27,-607.7574999999989,1,296
28,-3096.621625000002,1,928
29,-2780.2387500000173,0,1000
30,-3591.821000000007,0,1000
31,-2834.487125000008,0,1000
32,-3214.951500000014,0,1000
33,-2818.987125000001,0,1000
34,-2688.842250000003,0,1000
35,-885.5064999999979,1,522
36,-3054.961999999998,0,1000
37,-2608.641125000002,0,1000
38,-2493.668500000001,0,1000
39,-2319.9955000000027,0,1000
40,-2571.3878749999903,1,861
41,-3236.909499999999,0,1000
42,-2975.5208749999993,0,1000
43,-2412.924000000002,0,1000
44,-2002.3682500000048,0,1000
45,-2061.9458750000017,0,1000
46,-2458.84875,0,1000
47,-2994.998250000009,0,1000
48,-2975.8338749999975,0,1000
49,-2976.3423749999956,0,1000
50,-3366.3831249999985,0,1000
51,-3070.3096250000076,0,1000
52,-1977.9642500000057,0,1000
53,-3070.7269999999976,0,1000
54,-2252.5775000000012,0,1000
55,-2213.556500000002,0,1000
56,-2668.5463749999894,0,1000
57,-2995.8933750000056,0,1000
58,-2293.2230000000054,0,1000
59,-2298.637375000004,0,1000
60,-2513.083500000003,0,1000
61,-2517.8917500000007,0,1000
62,-2444.2192500000006,0,1000
63,-532.7768749999992,1,288
64,-892.8629999999986,1,398
65,-3341.7189999999932,0,1000
66,-2710.055750000006,0,1000
67,-2785.3072499999976,0,1000
68,-2038.2905000000035,0,1000
69,-1051.0774999999978,1,561
70,-2389.0943750000033,0,1000
71,-1427.2815000000023,1,552
72,-487.0004999999994,1,351
73,-2157.1753750000003,0,1000
74,-3041.0359999999982,0,1000
75,-2930.3553750000024,0,1000
76,-2067.5008749999997,0,1000
77,-2303.742750000003,0,1000
78,-3051.020624999998,0,1000
79,-1560.1667499999983,1,728
80,-2137.5827500000037,0,1000
81,-1246.4090000000033,1,601
82,-3126.9466250000114,0,1000
83,-1520.2250000000008,1,950
84,-829.1985000000002,1,585
85,-2613.5517499999987,0,1000
86,-4013.413125000001,0,1000
87,-1523.9609999999998,1,770
88,-2601.2301249999937,1,891
89,-124.12425000000002,1,113
90,-2825.7329999999924,0,1000
91,-3193.3897499999935,1,824
92,-831.0951249999993,1,494
93,-1418.4642500000018,1,809
94,-466.5836249999992,1,333
95,-2686.3843749999937,1,919
96,-1906.6873750000004,0,1000
97,-403.28262499999937,1,245
98,-3050.0627500000005,0,1000
99,-1376.400875000002,1,587
100,-2076.855625000003,0,1000
101,-1418.7517500000042,1,775
102,-3046.0617499999958,0,1000
103,-2202.568875000001,0,1000
104,-1976.9636250000005,0,1000
105,-3266.352749999992,0,1000
106,-2489.7563750000054,0,1000
107,-2959.915500000002,0,1000
108,-2645.2567500000187,0,1000
109,-2750.364249999999,0,1000
110,-1494.8368750000013,1,730
111,-2011.1325000000015,0,1000
112,-622.2028749999978,1,384
113,-1044.429749999997,1,614
114,-263.22324999999967,1,224
115,-1731.1128750000037,1,667
116,-223.95575000000014,1,142
117,-1396.7106250000013,1,560
118,-378.7974999999999,1,194
119,-358.14362499999993,1,235
120,-2051.4478749999953,0,1000
121,-1294.1128750000012,1,730
122,-1548.5712499999984,1,854
123,-2887.6643750000007,1,792
124,-198.0237499999999,1,202
125,-838.0178749999985,1,368
126,-2500.457249999993,1,901
127,-3076.1437499999984,0,1000
128,-417.10962499999914,1,323
129,-2410.2213749999964,1,853
130,-338.2772499999999,1,222
131,-856.1528749999995,1,469
132,-1950.20775,1,762
133,-481.7938749999996,1,364
134,-169.13112500000005,1,132
135,-920.2294999999995,1,529
136,-2332.9018749999977,1,663
137,-1141.2464999999982,1,575
138,-2580.5412500000007,0,1000
139,-3311.190624999993,0,1000
140,-1961.2516250000008,0,1000
141,-1926.8955000000055,0,1000
142,-4669.331999999999,0,1000
143,-1972.0625000000055,0,1000
144,-4603.922624999999,0,1000
145,-4138.141249999996,0,1000
146,-3867.1363749999946,0,1000
147,-4012.9838749999985,0,1000
148,-4087.4331249999955,0,1000
149,-2428.629874999991,0,1000
150,-3455.483624999994,0,1000
151,-2263.509124999993,0,1000
152,-912.9412500000001,1,431
153,-1573.0393750000012,1,904
154,-2454.2611249999923,0,1000
155,-955.9926249999994,1,498
156,-1454.5471249999996,1,722
157,-3732.5587499999915,0,1000
158,-4614.211874999998,0,1000
159,-3937.953749999998,0,1000
160,-757.7516249999987,1,376
161,-1651.4950000000008,1,651
162,-551.6438749999993,1,374
163,-3391.531624999997,0,1000
164,-3286.830249999997,0,1000
165,-1892.966375,1,641
166,-1695.8983749999977,0,1000
167,-1519.9002500000054,0,1000
168,-1052.1378749999978,1,426
169,-1451.4838750000022,1,630
170,-982.4246249999992,1,433
171,-926.6476250000005,1,456
172,-427.22349999999915,1,327
173,-3361.3893749999947,0,1000
174,-3647.3784999999975,0,1000
175,-677.8713749999996,1,369
176,-1766.0773750000023,1,770
177,-1087.2132499999996,1,448
178,-737.2512499999981,1,403
179,-3647.47975,0,1000
180,-473.5126249999988,1,255
181,-1405.0890000000009,1,676
182,-1016.8976249999989,1,512
183,-802.9832499999986,1,374
184,-816.2446249999979,1,472
185,-1452.5992500000018,1,541
186,-2021.066374999999,1,776
187,-1248.3753750000053,1,433
188,-1648.0736249999995,1,823
189,-970.4548749999979,1,537
190,-347.15137499999963,1,279
191,-1976.833250000004,0,1000
192,-1175.5668750000018,1,592
193,-2634.0728749999867,0,1000
194,-906.0113749999998,1,511
195,-1791.0033750000052,0,1000
196,-547.2879999999996,1,339
197,-4284.058125000002,0,1000
198,-914.2611249999998,1,278
199,-868.8038749999996,1,319
200,-2083.3629999999957,1,592
201,-3391.4798749999973,0,1000
202,-851.8727499999992,1,435
203,5.65937499999994,1,69
204,-1127.6280000000013,1,442
205,-1681.7604999999971,1,919
206,-821.2457499999986,1,455
207,-517.5195000000001,1,330
208,-1571.6964999999964,1,603
209,-566.482,1,419
210,-1031.6214999999997,1,533
211,-312.8988749999996,1,236
212,-3237.8938750000034,1,850
213,-218.15525000000014,1,214
214,-765.8376249999999,1,484
215,-137.91437499999998,1,177
216,-692.5493749999991,1,342
217,-54.07875000000013,1,110
218,-244.36287500000003,1,126
219,-214.05750000000006,1,149
220,-1689.8822500000047,1,791
221,-224.01737500000002,1,152
222,-507.9676249999992,1,300
223,-1878.1436250000004,1,612
224,-537.4682499999992,1,310
225,-2523.600374999996,0,1000
226,-2784.5427499999923,1,995
227,-2013.7793749999978,1,873
228,-2112.1911249999976,1,974
229,-1520.71575,1,980
230,-4127.987749999995,0,1000
231,-4528.645249999999,0,1000
232,-4393.4761249999965,0,1000
233,-2082.852000000003,0,1000
234,-4238.178249999997,0,1000
235,-3636.5144999999975,0,1000
236,-4263.316999999997,0,1000
237,-2081.9661249999976,0,1000
238,-262.66262499999965,1,221
239,-1188.246625000001,1,452
240,-203.78212499999978,1,166
241,-858.2428749999993,1,331
242,-362.8546250000002,1,265
243,-541.6784999999993,1,354
244,-881.9342499999993,1,426
245,-213.34299999999996,1,176
246,-3572.337374999999,0,1000
247,-1241.6939999999995,1,510
248,-452.4843749999993,1,294
249,-657.3408749999993,1,380
250,-1172.5008750000022,1,491
251,-3822.8685,0,1000
252,-218.09850000000017,1,236
253,-1537.4627500000004,1,545
254,-2203.5797499999994,1,667
255,-3208.259124999999,1,858
256,-1243.950125000002,1,396
257,-858.7346249999997,1,299
258,-478.3759999999992,1,258
259,-68.89387500000001,1,110
260,-272.8901249999999,1,233
261,-836.6291249999992,1,450
262,-292.4107499999997,1,253
263,-988.2279999999998,1,380
264,-58.95750000000004,1,109
265,-348.00299999999993,1,217
266,-481.6829999999993,1,384
267,-118.58375000000004,1,150
268,-1678.038999999997,1,573
269,-937.5432499999974,1,428
270,-178.43937499999976,1,175
271,-593.4689999999993,1,274
272,-942.3268749999986,1,414
273,-283.85437499999983,1,176
274,-1847.0500000000022,1,685
275,-1342.9419999999998,1,546
276,-1787.6988749999982,1,578
277,-1883.7506250000033,1,869
278,-932.9919999999993,1,377
279,-677.6826249999991,1,364
280,-252.87912499999993,1,248
281,-277.44074999999987,1,236
282,-3091.279124999994,0,1000
283,-1950.5630000000097,1,810
284,-417.8806249999998,1,245
285,-2750.837874999994,1,921
286,-1089.1188750000003,1,695
287,-2910.9161249999906,1,958
288,-1400.6489999999976,1,621
289,-1109.7367499999973,1,686
290,-1905.5176249999993,1,782
291,-1308.6398750000021,1,439
292,-672.9568749999992,1,330
293,-703.6781249999982,1,284
294,-587.5818749999995,1,352
295,-352.963875,1,239
296,-1187.2607500000029,1,566
297,-123.63174999999995,1,149
298,-1917.0623750000002,1,665
299,-2386.335000000004,1,882
300,-2371.1612499999933,1,855
301,-2028.1197499999957,1,958
302,-2327.9967499999975,0,1000
303,-1715.9732499999977,1,761
304,-2855.8969999999977,0,1000
305,-1665.280124999999,1,781
306,-3246.8188750000018,0,1000
307,-986.308749999999,1,537
308,-1425.3881249999997,1,668
309,-1137.0698749999995,1,547
310,-1586.7017499999981,1,617
311,-1482.4016249999988,1,544
312,-901.0166249999967,1,533
313,-1513.0551249999992,1,559
314,-1143.911375,1,368
315,-1509.4718750000004,1,379
316,-903.8852499999995,1,304
317,-4058.475625000001,0,1000
318,-952.0146249999993,1,496
319,-3788.6138749999996,0,1000
320,-417.4861249999997,1,327
321,-1838.104250000001,1,548
322,-1343.2851250000017,1,449
323,-1977.3588750000017,1,711
324,-1093.4403750000022,1,399
325,-1820.709249999997,1,730
326,-203.59750000000014,1,193
327,-2673.659999999999,0,1000
328,-89.06887500000013,1,112
329,-2855.5658749999975,0,1000
330,-2011.758625000002,0,1000
331,-571.858125,1,358
332,-1458.6781250000022,1,838
333,-442.6484999999991,1,304
334,-521.7712500000005,1,399
335,-1080.299875000003,1,674
336,-1003.3419999999999,1,370
337,-48.68750000000006,1,133
338,-498.5949999999996,1,253
339,-576.5666249999997,1,428
340,-787.5723749999987,1,401
341,-472.53837499999963,1,321
342,-653.147124999999,1,308
343,-317.1923749999999,1,258
344,-173.46399999999988,1,151
345,-437.7302500000004,1,294
346,-23.9212500000001,1,110
347,-163.62037499999997,1,160
348,-283.6348750000001,1,189
349,-84.28675000000007,1,91
350,-189.05775,1,147
351,-963.9010000000007,1,326
352,-423.6331249999997,1,212
353,-2187.767374999998,1,724
354,-537.5031249999997,1,324
355,-1817.213499999999,1,638
356,-657.9332499999999,1,335
357,-413.0353749999995,1,269
358,-1330.8208749999994,1,634
359,-427.3988749999994,1,307
360,-502.66325000000006,1,296
361,-1147.2728750000003,1,464
362,-178.37512499999985,1,178
363,-288.5651249999997,1,167
364,-3056.7153749999966,0,1000
365,-398.2528749999993,1,277
366,-2574.8998750000014,0,1000
367,-851.3558749999963,1,538
368,-2469.0502499999907,1,968
369,-741.9783749999979,1,420
370,-1902.5938749999993,1,640
371,-681.295499999999,1,436
372,-1076.562624999999,1,551
373,-2242.383249999997,1,680
374,-497.2191249999995,1,308
375,-342.08799999999894,1,327
376,-658.5088749999998,1,269
377,-133.97137500000034,1,138
378,-1107.2736249999998,1,471
379,-740.725374999998,1,436
380,-863.5231249999988,1,308
381,-2566.0321249999956,1,954
382,-1087.1856249999992,1,489
383,-1367.2479999999994,1,547
384,-488.1633749999995,1,262
385,-495.45637499999896,1,443
386,-2571.071875000001,1,937
387,-342.89649999999995,1,248
388,-2277.1569999999965,0,1000
389,-373.7838749999995,1,202
390,-2965.2056249999964,0,1000
391,-1012.2351249999992,1,486
392,-3051.640374999997,1,986
393,-352.02837499999964,1,297
394,-1122.6500000000003,1,463
395,-1518.9730000000004,1,793
396,-363.01299999999975,1,246
397,-543.8059999999997,1,235
398,-178.30737499999987,1,180
399,-368.4297500000001,1,207
400,-388.0961249999998,1,279
401,-552.8497499999992,1,301
402,-158.89600000000013,1,145
403,-512.4657499999992,1,355
404,-2511.8519999999976,1,825
405,-667.5096249999988,1,363
406,-926.9058749999988,1,468
407,-408.606375,1,224
408,-252.96249999999992,1,237
409,-232.86412500000012,1,218
410,-238.5080000000001,1,179
411,-931.5553749999985,1,478
412,-293.70250000000004,1,193
413,-358.6165,1,206
414,-3053.215875000001,1,866
415,-612.8947499999985,1,329
416,-273.93337499999967,1,164
417,-228.933625,1,162
418,-472.8502499999996,1,289
419,-124.17225000000019,1,117
420,-1751.5988750000006,1,700
421,-1537.2914999999996,1,564
422,-413.5438749999996,1,240
423,-463.78837499999963,1,216
424,-1017.5467499999986,1,396
425,-912.1962499999981,1,405
426,-133.88050000000013,1,133
427,-648.5752500000008,1,286
428,-598.3957499999992,1,291
429,-1607.8217499999998,1,548
430,-1217.578875000003,1,495
431,-1531.5203750000053,1,604
432,-1008.480624999999,1,378
433,-2425.8461249999946,1,876
434,-1193.7180000000014,1,361
435,-1583.0012500000007,1,539
436,-2645.3184999999926,0,1000
437,-1746.4737500000056,1,707
438,-2108.590500000002,0,1000
439,-1465.2210000000023,1,696
440,-1462.5878750000038,1,526
441,-1692.0227500000017,1,645
442,-1506.3876250000014,1,610
443,-2383.188624999999,0,1000
444,-1272.6131249999992,1,477
445,-353.45974999999976,1,220
446,-997.8621249999994,1,399
447,-573.9854999999997,1,218
448,-223.06724999999977,1,210
449,-69.326875,1,91
450,-158.9871250000001,1,137
451,-817.3123749999999,1,385
452,-312.8708749999997,1,239
453,-1262.9168749999992,1,420
454,-1422.5659999999993,1,485
455,-2350.9489999999937,1,798
456,-1572.7153750000002,1,549
457,-69.23737500000007,1,92
458,-229.2064999999999,1,134
459,-3137.507625000001,1,924
460,-369.14737499999967,1,163
461,-1847.9282499999972,1,621
462,-419.266625,1,184
463,-898.9891250000006,1,321
464,-378.1377499999995,1,266
465,-3197.3806250000002,0,1000
466,-393.2429999999994,1,242
467,-119.04687500000014,1,116
468,-313.06299999999993,1,248
469,-228.45374999999984,1,179
470,-59.092375000000175,1,104
471,-1751.5231250000015,1,724
472,-513.2967499999988,1,310
473,-1006.2751249999992,1,536
474,-453.94012499999974,1,215
475,-2353.8062499999974,0,1000
476,-887.6643749999993,1,437
477,-663.6443749999986,1,285
478,-358.29187499999983,1,247
479,-562.8950000000001,1,329
480,-382.89899999999994,1,281
481,-254.1287499999999,1,155
482,-317.31749999999977,1,276
483,-317.8939999999998,1,238
484,-1617.5291249999998,1,612
485,-1034.2006250000024,1,323
486,-193.63937499999986,1,160
487,-552.5684999999987,1,327
488,-153.01587500000008,1,191
489,-1441.5813750000032,1,643
490,-1657.9258750000006,1,622
491,-503.41649999999856,1,272
492,-1321.9503750000042,1,601
493,-647.9107499999984,1,358
494,-4068.760874999998,0,1000
495,-69.35400000000007,1,88
496,-73.9318750000001,1,124
497,-283.64162499999946,1,185
498,-293.9419999999994,1,178
499,-109.34337500000015,1,101
500,-3171.4692499999974,0,1000
501,-2070.2581250000035,1,909
502,-138.22762500000002,1,172
503,-627.5779999999983,1,357
504,-283.435875,1,208
505,-952.4852499999984,1,425
506,-2272.896374999997,0,1000
507,-2657.1561249999986,1,797
508,-1290.3148749999982,1,639
509,-553.4132499999996,1,285
510,-2349.948750000007,0,1000
511,-2011.5556249999981,1,717
512,-1330.7006249999988,1,641
513,-1255.151000000009,1,749
514,-258.1118749999998,1,235
515,-3366.744625000001,0,1000
516,-961.1231249999996,1,537
517,-3196.706624999993,0,1000
518,-124.08087500000008,1,112
519,-796.5766249999979,1,481
520,-711.7219999999984,1,434
521,-792.0722499999979,1,453
522,-542.1218749999982,1,392
523,-843.0959999999999,1,382
524,-842.4718749999979,1,449
525,-387.81599999999986,1,274
526,-1465.9148750000084,1,738
527,-676.453249999998,1,465
528,-348.537,1,198
529,-737.7928749999995,1,330
530,-303.31475000000023,1,256
531,-133.97287500000016,1,135
532,-1432.296125,1,559
533,-426.6408749999998,1,367
534,-1525.8905000000009,1,655
535,-1901.7496250000024,1,712
536,-2540.501125000006,0,1000
537,-786.8444999999981,1,450
538,-412.9292499999997,1,258
539,-703.2261249999996,1,326
540,-1846.404250000003,1,743
541,-3095.762749999994,0,1000
542,-308.1672499999996,1,224
543,-1296.0822500000015,1,608
544,-68.81950000000015,1,131
545,-1761.1721249999996,1,732
546,-1312.8890000000047,1,464
547,-517.8401249999995,1,300
548,-69.3555,1,86
549,-972.6865000000003,1,416
550,-718.1421249999987,1,337
551,-139.05725000000015,1,117
552,-3407.729124999996,0,1000
553,-1017.3935000000001,1,487
554,-368.5808749999997,1,225
555,-888.7248749999995,1,350
556,-538.975499999999,1,241
557,-927.2988749999977,1,497
558,-3452.245749999999,0,1000
559,-2636.2358749999953,1,878
560,-3656.8523749999936,0,1000
561,-3576.858624999995,0,1000
562,-797.3073749999993,1,376
563,-129.08575000000008,1,112
564,-153.36062500000017,1,177
565,-2430.349624999999,1,918
566,-583.2543749999999,1,281
567,-2549.393999999993,0,1000
568,-2985.9883749999976,0,1000
569,-987.0597500000029,1,453
570,-2369.215624999999,0,1000
571,-358.8378749999998,1,213
572,-1182.6938750000002,1,444
573,-622.256624999999,1,386
574,-99.48300000000003,1,79
575,-298.808625,1,177
576,-168.10887500000047,1,206
577,-497.21024999999975,1,370
578,-433.61662499999966,1,230
579,-1242.3828749999993,1,499
580,-168.59424999999987,1,158
581,-513.2338749999984,1,276
582,-2751.8977500000024,1,947
583,-313.6577500000001,1,193
584,-573.4784999999996,1,262
585,-653.9019999999991,1,263
586,-158.93587500000024,1,145
587,-278.5632499999999,1,186
588,-2790.4762499999983,0,1000
589,-872.2187499999972,1,446
590,-413.26725000000033,1,253
591,-462.38499999999954,1,347
592,-308.7878749999997,1,171
593,-957.4421249999982,1,456
594,-1482.3417499999994,1,525
595,-353.11312499999997,1,241
596,-438.3892500000002,1,236
597,-253.93024999999972,1,164
598,-14.055500000000109,1,100
599,-119.41062500000004,1,93
600,-263.8189999999995,1,183
601,-607.7872499999987,1,331
602,-523.8117500000002,1,233
603,-3126.957624999996,0,1000
604,-1322.9088749999994,1,504
605,-288.3927499999998,1,217
606,-2268.0423749999973,0,1000
607,-2027.4902500000012,1,615
608,-173.22949999999975,1,201
609,-477.86012499999913,1,263
610,-227.85949999999946,1,227
611,-463.1879999999992,1,279
612,-2187.5453749999965,1,693
613,-1870.5591250000004,1,847
614,-557.4166249999985,1,384
615,-1211.9519999999993,1,510
616,-497.8988749999992,1,292
617,-3853.095124999996,0,1000
618,-253.60400000000004,1,184
619,-1104.1621250000003,1,331
620,-243.63424999999978,1,178
621,-2016.705875000001,1,704
622,-1073.378999999999,1,416
623,-497.62299999999925,1,350
624,-698.2809999999994,1,294
625,-1453.8144999999988,1,460
626,-3402.4042499999946,0,1000
627,-508.1957500000002,1,301
628,-118.59012500000006,1,151
629,-318.5984999999995,1,191
630,-1072.7318750000013,1,486
631,-223.39662500000003,1,195
632,-319.0882500000001,1,176
633,-422.9980000000003,1,287
634,-2639.175124999999,0,1000
635,-369.03049999999985,1,194
636,-468.4723749999994,1,264
637,-957.6565,1,468
638,-627.4506249999997,1,357
639,-1738.9686249999977,1,860
640,-708.3939999999981,1,351
641,-989.8469999999975,1,678
642,-134.32425000000015,1,98
643,-223.77112500000004,1,184
644,-218.95812499999988,1,154
645,-532.9526249999996,1,313
646,-3396.8425000000043,0,1000
647,-737.3927499999982,1,396
648,-104.53925000000015,1,83
649,-1133.5550000000017,1,386
650,-637.9702499999989,1,321
651,-144.56700000000006,1,86
652,-618.449125,1,283
653,-328.523125,1,218
654,-1551.5571250000005,1,708
655,-88.7745000000001,1,140
656,-679.3692499999999,1,238
657,-84.03125000000023,1,112
658,-277.7558749999996,1,230
659,-314.03737500000005,1,178
660,-533.5891250000001,1,271
661,-359.15974999999963,1,189
662,-179.28775000000013,1,117
663,-623.0303749999994,1,326
664,-333.44237499999997,1,215
665,-3067.0580000000054,0,1000
666,-658.6103749999985,1,317
667,-49.425500000000085,1,74
668,-63.946125000000336,1,129
669,-903.5038749999981,1,338
670,-2157.3804999999957,1,712
671,-593.5703749999994,1,242
672,-139.34012500000014,1,108
673,-488.8227499999998,1,221
674,-1573.3231250000006,1,490
675,-1747.6679999999983,1,588
676,-3155.8482499999955,0,1000
677,-2046.876749999997,0,1000
678,-4208.068374999996,0,1000
679,-4238.142249999997,0,1000
680,-783.0262500000003,1,362
681,-3131.915499999997,1,921
682,-1811.3306250000046,1,724
683,-1512.6443749999992,1,546
684,-3356.585624999999,0,1000
685,-358.87187499999993,1,216
686,-2928.209124999998,1,800
687,-89.13500000000016,1,125
688,-1202.683125,1,436
689,-1522.4801249999996,1,631
690,-178.98512499999993,1,139
691,-223.47825000000046,1,206
692,-153.0348750000001,1,229
693,-1223.355625,1,483
694,-69.26750000000001,1,109
695,-89.06662500000022,1,129
696,-128.48650000000012,1,168
697,-34.457625000000064,1,70
698,-39.111375000000066,1,86
699,-1113.5970000000027,1,404
700,-968.2816249999996,1,381
701,-139.15812500000015,1,115
702,-1377.5820000000003,1,523
703,-1962.6194999999975,1,689
704,-348.0578749999997,1,247
705,-2673.2541250000013,1,768
706,-218.4016250000002,1,209
707,-922.4128749999973,1,456
708,-798.4081249999995,1,303
709,-1182.5270000000025,1,535
710,-209.04799999999977,1,144
711,-1574.2910000000008,1,421
712,-402.9944999999998,1,275
713,-819.0618749999998,1,312
714,-162.98812499999997,1,223
715,-1711.6174999999976,1,722
716,-428.1671249999995,1,282
717,-678.2371249999986,1,306
718,-513.7766249999996,1,251
719,-308.33525,1,225
720,-1737.3237499999993,1,638
721,-278.16537499999976,1,239
722,-59.27775000000008,1,104
723,-498.6363749999996,1,258
724,-833.5894999999996,1,357
725,-1987.6358749999986,1,661
726,-3642.0098749999984,0,1000
727,-4483.775124999997,0,1000
728,-4609.140624999999,0,1000
