episode,return,success,steps
1,-2238.7521249999986,0,1000
2,-2052.3161249999994,0,1000
3,-2348.6460000000093,0,1000
4,-2343.3276250000017,0,1000
5,-2399.148374999998,0,1000
6,-1694.482000000002,1,766
7,-2740.0041249999986,0,1000
8,-932.2374999999997,1,424
9,-2875.436000000005,0,1000
10,-630.9109999999984,1,411
11,-2093.386999999998,0,1000
12,-2229.8869999999943,1,921
13,-2364.1735000000044,0,1000
14,-2127.988125000001,0,1000
15,-1508.1203749999986,1,844
16,-2543.48687500001,0,1000
17,-2097.7382499999926,0,1000
18,-2423.537875000004,0,1000
19,-2900.160499999998,0,1000
20,-2544.024500000003,0,1000
21,-2257.679124999999,0,1000
22,-1902.6457499999992,0,1000
23,-2469.5673750000014,0,1000
24,-1922.3977499999962,0,1000
25,-2278.505124999998,0,1000
26,-1794.1547500000029,1,834
27,-2268.544000000005,0,1000
28,-2143.1974999999993,0,1000
29,-2323.9188750000035,0,1000
30,-2834.710999999998,0,1000
31,-2113.6388750000106,0,1000
32,-2504.2762500000026,0,1000
33,-1670.8053749999992,0,1000
34,-2072.7113750000008,0,1000
35,-2057.4826250000015,0,1000
36,-1637.6866250000016,0,1000
37,-1907.8391250000054,0,1000
38,-2178.4091249999965,0,1000
39,-2619.642124999998,0,1000
40,-2233.2563750000018,0,1000
41,-512.4407500000002,1,356
42,-2148.3481250000054,0,1000
43,-1831.6983750000006,0,1000
44,-2248.7965000000017,0,1000
45,-1621.8588750000042,0,1000
46,-1821.2616249999983,0,1000
47,-507.88624999999945,1,290
48,-1847.1764999999964,0,1000
49,-2092.7315000000012,0,1000
50,-1377.3062499999987,1,836
51,-2223.0951249999976,0,1000
52,-2067.7002500000076,0,1000
53,-1786.8113749999961,0,1000
54,-1506.4381249999974,0,1000
55,-2057.5136249999987,0,1000
56,-1892.1518750000027,0,1000
57,-1947.0076249999956,0,1000
58,-1641.5682499999978,0,1000
59,-2785.4444999999996,0,1000
60,-1866.8669999999981,0,1000
61,-1626.5955000000001,0,1000
62,-2664.9916250000115,0,1000
63,-1416.0189999999993,0,1000
64,-1720.965249999997,0,1000
65,-1295.3218749999962,0,1000
66,-1866.7031250000018,0,1000
67,-1552.2012500000014,0,1000
68,-1812.235625000003,0,1000
69,-1881.7873749999949,0,1000
70,-1997.4654999999993,0,1000
71,-1671.9166250000033,0,1000
72,-1732.2000000000046,0,1000
73,-1109.8421249999944,0,1000
74,-1841.8266250000004,0,1000
75,-1835.7183750000002,0,1000
76,-1527.6908750000082,0,1000
77,-2258.1641250000057,0,1000
78,-1552.1142500000058,0,1000
79,-1602.3977500000037,0,1000
80,-1511.9502500000096,0,1000
81,-1606.4839999999965,0,1000
82,-1616.902,0,1000
83,-1472.062750000008,0,1000
84,-1491.7621249999993,0,1000
85,-1737.665249999996,0,1000
86,-1401.5063749999933,0,1000
87,-1406.3805000000013,0,1000
88,-1903.0424999999962,0,1000
89,-1486.2211249999966,0,1000
90,-1396.569999999997,0,1000
91,-1275.4382499999997,0,1000
92,-1883.1650000000136,0,1000
93,-1614.0928750000076,1,907
94,-1767.5221249999981,0,1000
95,-2048.0782500000005,0,1000
96,-1411.2811249999968,0,1000
97,-1471.3172499999966,0,1000
98,-1581.3200000000018,0,1000
99,-1301.3416249999982,0,1000
100,-1586.424749999997,0,1000
101,-1215.8913750000008,0,1000
102,-1637.267999999999,0,1000
103,-1567.783875000003,0,1000
104,-1380.8372500000003,0,1000
105,-1290.8827500000002,0,1000
106,-2024.0103750000046,0,1000
107,-1431.2418749999983,0,1000
108,-1557.730249999999,0,1000
109,-1445.844624999996,0,1000
110,-1572.1316250000025,0,1000
111,-1155.7383749999967,0,1000
112,-1446.941125,0,1000
113,-1366.1490000000006,0,1000
114,-1381.5367499999966,0,1000
115,-1663.482999999996,0,1000
116,-1546.7583749999988,0,1000
117,-1843.6017499999994,0,1000
118,-1136.669999999992,0,1000
119,-1322.1577499999996,0,1000
120,-1502.632250000006,0,1000
121,-1141.6482500000025,0,1000
122,-1150.9342499999937,0,1000
123,-1478.0717500000037,0,1000
124,-2093.9592499999994,0,1000
