episode,return,success,steps
1,-2318.698750000014,0,1000
2,-2439.3385000000067,0,1000
3,-2012.4711250000007,0,1000
4,-2418.930125000002,0,1000
5,-2539.8806250000075,0,1000
6,-3125.892000000004,0,1000
7,-2432.8767499999994,0,1000
8,-3381.1331250000026,0,1000
9,-3476.661374999999,0,1000
10,-2774.5683750000003,0,1000
11,-2754.6041249999985,0,1000
12,-2885.448874999998,0,1000
13,-2720.719250000002,0,1000
14,-2413.9272500000025,0,1000
15,-2750.085375,0,1000
16,-1416.1709999999985,1,648
17,-4073.821874999996,0,1000
18,-3030.827249999998,0,1000
19,-3216.4193750000077,0,1000
20,-3642.075375000006,0,1000
21,-2780.228250000014,0,1000
22,-991.9159999999988,1,467
23,-2433.9340000000093,0,1000
24,-3406.554250000006,0,1000
25,-3622.507125000015,0,1000
26,-3265.305125000003,0,1000
27,-3130.022875000005,0,1000
28,-2880.1393750000097,0,1000
29,-2018.0617500000076,0,1000
30,-2830.7980000000093,0,1000
31,-2664.6733750000153,0,1000
32,-3135.720750000003,0,1000
33,-2770.1752500000034,0,1000
34,-2347.396875,0,1000
35,-2497.601875000004,0,1000
36,-1986.6539999999948,0,1000
37,-2463.359,0,1000
38,-2308.232375,0,1000
39,-2484.5013750000044,0,1000
40,-2428.688250000002,0,1000
41,-2378.9973750000026,0,1000
42,-1086.7424999999987,1,508
43,-3663.186875000007,0,1000
44,-3767.5851250000005,0,1000
45,-3376.478875000011,0,1000
46,-2675.275375000004,0,1000
47,-2103.512999999996,0,1000
48,-1790.3785000000078,1,863
49,-2263.667125000009,0,1000
50,-2043.0236249999991,0,1000
51,-2645.163374999987,0,1000
52,-3196.6451249999964,0,1000
53,-3717.587250000001,0,1000
54,-2539.706999999992,0,1000
55,-2724.6556249999944,0,1000
56,-2794.6285000000003,0,1000
57,-1574.0462500000026,1,773
58,-1864.595000000005,1,871
59,-637.8801249999989,1,327
60,-3397.1462499999952,0,1000
61,-252.98812499999997,1,249
62,-192.69325000000003,1,243
63,-2590.14662500001,0,1000
64,-2795.300374999992,0,1000
65,-861.1657500000002,1,523
66,-2343.6080000000075,0,1000
67,-2674.513374999993,0,1000
68,-1091.2079999999976,1,570
69,-2965.4493749999947,0,1000
70,-667.9889999999997,1,349
71,-2475.653624999992,1,869
72,-762.1774999999972,1,397
73,-1980.9792500000012,1,769
74,-2996.2615000000096,0,1000
75,-2108.0067500000127,0,1000
76,-2609.6333749999994,0,1000
77,-2604.6452500000096,0,1000
78,-2814.229874999995,0,1000
79,-2734.342749999998,0,1000
80,-1761.3680000000056,1,729
81,-2253.298625000001,0,1000
82,-3902.7231249999977,0,1000
83,-2428.7500000000005,0,1000
84,-3065.962374999994,0,1000
85,-2479.5203750000023,0,1000
86,-2288.942999999998,0,1000
87,-2554.91625,0,1000
88,-1437.0056250000014,1,885
89,-2695.106624999998,0,1000
90,-1992.4773749999974,0,1000
91,-999.7973749999956,1,634
92,-2158.3642499999883,0,1000
93,-2850.777499999999,0,1000
94,-2308.578000000001,0,1000
95,-2219.0796250000017,0,1000
96,-2539.504874999997,0,1000
97,-1972.3223750000068,0,1000
98,-1016.0861249999975,1,581
99,-2930.147125000001,0,1000
100,-1852.9961250000108,0,1000
101,-3271.5484999999985,0,1000
102,-1529.105000000004,1,861
103,-603.5037499999988,1,262
104,-1965.9383750000006,1,731
105,-2610.340875000007,0,1000
106,-1957.6947500000008,0,1000
107,-2640.1183749999996,0,1000
108,-2545.202875000004,0,1000
109,-2443.6058749999947,0,1000
110,-2109.115000000001,0,1000
111,-2424.7723750000027,0,1000
112,-2815.697750000009,0,1000
113,-2071.7703749999973,0,1000
114,-2016.9596249999977,0,1000
115,-2288.1711250000053,0,1000
116,-2349.0182500000087,0,1000
117,-1957.8982500000009,0,1000
118,-2508.9186250000002,0,1000
119,-2358.3144999999995,0,1000
120,-2073.6358750000036,0,1000
121,-1687.7331250000075,0,1000
122,-2694.737374999994,0,1000
123,-2956.2906250000033,0,1000
124,-2750.0392499999944,0,1000
125,-2027.893250000006,0,1000
126,-2840.302500000004,0,1000
127,-1357.1486250000037,1,550
128,-1917.3648750000002,0,1000
129,-2338.9828749999983,0,1000
130,-1631.76525,0,1000
131,-1435.5122500000002,1,676
132,-2423.801250000001,0,1000
133,-2092.824375000004,0,1000
134,-1295.4401250000037,0,1000
135,-2709.821500000014,0,1000
136,-2358.985750000009,0,1000
137,-1982.9499999999987,0,1000
138,-1816.7455000000025,0,1000
139,-2057.6992499999988,0,1000
140,-1747.231250000008,0,1000
141,-1445.1448750000034,1,779
142,-1957.5256249999964,0,1000
143,-702.1449999999992,1,406
144,-1670.4488749999985,0,1000
145,-1687.0603749999939,0,1000
146,-1596.0697500000056,0,1000
147,-1825.3153750000015,1,764
148,-2069.6398749999976,1,865
149,-2239.5077499999916,0,1000
150,-2137.4883749999985,1,681
151,-2448.847499999997,0,1000
152,-1979.6297499999978,1,876
153,-602.4824999999995,1,352
154,-3010.4697499999947,0,1000
155,-406.6237499999996,1,376
156,-1445.096249999996,1,671
157,-2489.497625000003,0,1000
158,-1375.2464999999947,1,757
159,-1628.434,1,874
160,-383.4468749999996,1,230
161,-1286.8412499999974,1,587
162,-3000.5939999999996,0,1000
163,-2424.454249999998,0,1000
164,-760.2792499999988,1,583
165,-2078.3227500000035,0,1000
166,-658.1501249999992,1,335
167,-466.08024999999975,1,424
168,-2745.2651250000054,0,1000
169,-896.3488749999985,1,539
170,-1605.4102499999965,1,792
171,-2860.5257500000002,0,1000
172,-843.0027499999997,1,358
173,-2555.3494999999966,0,1000
174,-2885.0433749999956,0,1000
175,-3431.776374999998,0,1000
176,-3241.5036249999966,0,1000
177,-2403.8349999999878,0,1000
178,-2655.0302500000016,0,1000
179,-1476.7588750000066,0,1000
180,-1084.9328750000002,1,612
181,-2720.5692500000046,0,1000
182,-2413.2169999999996,0,1000
183,-1712.4355000000135,0,1000
184,-2705.834250000002,0,1000
185,-2158.2576250000006,0,1000
186,-2491.563624999993,1,836
187,-2509.8340000000035,0,1000
188,-2219.4751250000036,0,1000
189,-2403.7231249999927,0,1000
190,-2112.853875000001,0,1000
191,-2278.3004999999953,0,1000
192,-2751.0212500000075,0,1000
193,-2540.4278749999953,0,1000
194,-2284.450750000013,0,1000
195,-1695.9533750000062,1,726
196,-1671.3452500000017,1,670
197,-3070.868375000001,0,1000
198,-2244.2035000000014,0,1000
199,-2635.250000000004,0,1000
200,-2239.2418750000015,0,1000
201,-2169.3799999999965,0,1000
202,-2058.0073750000083,0,1000
203,-1290.9957500000012,1,617
204,-1753.8831249999998,1,866
205,-2229.292250000004,0,1000
206,-712.7805,1,361
207,-2645.4577499999978,0,1000
208,-941.638499999998,1,492
209,-1597.9401250000044,1,842
210,-1431.725500000007,1,621
211,-528.1298749999995,1,296
212,-1979.1586250000041,1,948
213,-2284.210750000015,0,1000
214,-1933.2672499999996,0,1000
215,-2333.5302500000025,0,1000
216,-2190.157499999999,1,876
217,-1783.0557500000011,0,1000
218,-2921.0946249999993,0,1000
219,-2705.5789999999956,0,1000
220,-2800.1957499999994,0,1000
221,-1401.5000000000048,1,579
222,-3011.8671249999907,1,921
223,-493.35387499999956,1,242
224,-2081.288750000005,1,814
225,-1680.6242500000076,1,747
226,-3266.708624999994,0,1000
227,-1505.709375000001,1,692
228,-1850.3975000000069,1,820
229,-632.4611250000004,1,338
230,-3402.2593750000024,0,1000
231,-754.9068749999984,1,563
232,-411.8336249999997,1,349
233,-2895.968749999999,0,1000
234,-896.5288749999993,1,471
235,-486.6348749999993,1,375
236,-702.295,1,413
237,-1671.5640000000014,1,701
238,-2519.0113749999873,0,1000
239,-1002.7596249999983,1,407
240,-440.6909999999991,1,422
241,-622.7051249999997,1,355
242,-302.0011249999992,1,299
243,-638.1793749999996,1,317
244,-1606.8207499999994,1,613
245,-1877.350500000001,0,1000
246,-582.9552499999978,1,322
247,-2281.17849999999,1,840
248,-957.7249999999979,1,414
249,-707.0552499999992,1,396
250,-886.7588749999973,1,519
251,-756.9964999999978,1,460
252,-2971.1256249999983,0,1000
253,-302.81162499999937,1,264
254,-363.0972499999997,1,242
255,-717.8167499999985,1,361
256,-3592.548874999997,0,1000
257,-629.9904999999987,1,524
258,-2886.2166250000014,0,1000
259,-1710.7562500000008,1,745
260,-865.6134999999988,1,547
261,-1678.9857499999987,1,848
262,-977.4854999999975,1,478
263,-322.85149999999965,1,289
264,-956.9974999999988,1,493
265,-847.5049999999984,1,448
266,-383.162375,1,248
267,-823.3103749999999,1,359
268,-2640.9569999999962,1,968
269,-975.3388749999947,1,660
270,-2600.9532499999987,0,1000
271,-2270.1907499999984,0,1000
272,-303.4934999999997,1,206
273,-737.1551249999981,1,437
274,-417.2226250000001,1,330
275,-1128.4115000000018,1,416
276,-3001.367249999998,0,1000
277,-302.49824999999964,1,270
278,-272.97024999999974,1,250
279,-931.5742499999967,1,519
280,-2084.2505000000037,1,960
281,-2032.9404999999988,0,1000
282,-217.62974999999977,1,244
283,-1972.1678749999974,1,711
284,-412.0402499999991,1,329
285,-1236.7087499999966,1,615
286,-1941.7247500000049,1,814
287,-413.8003749999998,1,227
288,-2161.2798749999997,1,773
289,-1840.7120000000027,1,844
290,-2042.264249999998,1,689
291,-102.91525000000004,1,181
292,-823.7878749999991,1,308
293,-832.339499999998,1,411
294,-213.75474999999972,1,165
295,-398.6637499999994,1,206
296,-467.66087499999924,1,312
297,-253.0358749999994,1,240
298,-4359.162875000002,0,1000
299,-2327.3097499999985,1,762
300,-2032.1878749999955,1,725
301,-1440.4581250000085,1,740
302,-2430.5848749999977,1,944
303,-1189.086749999995,1,733
304,-2050.590875000001,1,841
305,-2956.27075,0,1000
306,-733.6617499999998,1,294
307,-622.0462500000002,1,389
308,-233.50637500000005,1,193
309,-158.4513750000001,1,159
310,-143.7575000000004,1,163
311,-1967.383124999999,1,710
312,-3296.4688749999946,0,1000
313,-4072.9253749999984,0,1000
314,-4223.2228749999995,0,1000
315,-3967.453624999997,0,1000
316,-4128.116249999997,0,1000
317,-480.3806249999999,1,456
318,-2227.560874999994,0,1000
319,-2285.4629999999866,1,846
320,-2341.228999999994,1,844
321,-1919.1616250000036,1,894
322,-872.4121249999996,1,466
