episode,return,success,steps
1049,-473.02162499999974,1,282
1050,-1373.1613749999997,1,481
1051,-318.92537499999975,1,187
1,-2594.402249999999,0,1000
1052,-488.86324999999977,1,246
2,-2914.512125000004,0,1000
1053,-2731.3008750000017,0,1000
1054,-108.93712500000018,1,135
1055,-453.8264999999992,1,237
1056,-858.8832499999991,1,285
1057,-133.97437500000024,1,129
3,-2793.9513750000056,0,1000
1058,-1756.3033749999981,1,733
4,-2233.868625000005,1,984
1059,-2072.4891249999946,1,660
1060,-408.3797499999999,1,239
5,-3066.035125000006,0,1000
1061,-1294.7535000000012,1,772
1062,-1887.6325000000052,1,686
6,-2749.4377500000014,0,1000
1063,-2128.799375000006,0,1000
7,-2473.5633749999984,0,1000
1064,-786.661124999997,1,480
8,-2132.754000000003,0,1000
1065,-2639.616124999996,0,1000
9,-2463.4447499999987,0,1000
1066,-1902.7763750000072,0,1000
10,-1411.4729999999984,1,925
1067,-2428.8158750000152,0,1000
11,-3692.525874999994,0,1000
1068,-1932.886124999996,0,1000
12,-2071.19375,1,785
1069,-2864.920875000002,0,1000
13,-1657.868125000001,0,1000
14,-118.68837499999995,1,142
1070,-2940.4679999999953,1,992
15,-3893.3612500000013,0,1000
16,-1502.7882499999998,1,548
1071,-2299.207500000003,0,1000
1072,-487.922499999999,1,308
1073,-323.8059999999999,1,174
1074,-458.18712499999924,1,258
17,-3823.089000000002,0,1000
1075,-283.81312499999996,1,193
1076,-668.3510000000001,1,318
18,-3056.335874999998,0,1000
1077,-2570.0957500000004,0,1000
1078,-98.81275000000014,1,139
19,-1366.5598749999986,1,603
1079,-1332.5069999999994,1,611
20,-3638.43975,0,1000
1080,-2395.3558749999975,0,1000
21,-4113.963375000003,0,1000
1081,-647.7911249999999,1,355
1082,-133.63375000000013,1,152
1083,-587.5173749999976,1,372
22,-3993.821124999998,0,1000
1084,-502.88924999999904,1,335
1085,-543.0623749999994,1,320
23,-4148.764750000008,0,1000
1086,-1705.736499999999,1,748
1087,-921.4692499999978,1,484
24,-3898.56825000001,0,1000
1088,-577.976374999999,1,294
1089,-562.1526250000004,1,350
1090,-193.29625000000027,1,210
25,-3913.4782500000056,0,1000
1091,-358.41987500000016,1,226
26,-4138.889250000004,0,1000
1092,-3181.616874999999,0,1000
27,-2895.885874999997,0,1000
1093,-1712.959875,1,597
1094,-927.8707499999991,1,432
1095,-502.4569999999994,1,349
28,-3683.2551250000083,0,1000
1096,-118.81737500000014,1,142
29,-4419.1756250000035,0,1000
1097,-2779.700374999997,0,1000
1098,-497.96299999999985,1,270
30,-4173.863875000005,0,1000
1099,-881.4969999999996,1,488
31,-3208.1686250000075,0,1000
1100,-1984.0173750000013,0,1000
32,-3112.72625000001,0,1000
1101,-2314.195999999996,0,1000
1102,-398.1798749999995,1,256
1103,-63.815625000000296,1,131
1104,-233.62374999999992,1,188
1105,-198.83137499999958,1,166
33,-1660.9701249999996,0,1000
1106,-1071.1363750000016,1,558
1107,-84.36637500000018,1,100
34,-3808.275625000005,0,1000
1108,-652.7599999999996,1,363
1109,-498.4893749999994,1,274
35,-446.42974999999956,1,420
1110,-948.7856249999998,1,324
36,-582.5856249999986,1,358
1111,-1526.057875000006,1,711
37,-3898.1708750000003,0,1000
1112,-1420.7841249999992,1,698
1113,-397.85887499999905,1,315
1114,-204.1806249999999,1,137
38,-3772.8208750000044,0,1000
1115,-74.14162500000026,1,110
1116,-497.3976249999994,1,335
1117,-728.3856249999989,1,311
1118,-213.5589999999999,1,178
39,-3673.326750000009,0,1000
1119,-3953.165874999997,0,1000
40,-2659.949999999995,0,1000
1120,-448.7053749999993,1,243
1121,-588.742124999999,1,274
1122,-1137.3058750000007,1,516
41,-1605.5459999999935,0,1000
1123,-199.33999999999997,1,117
1124,-144.00275000000025,1,146
42,-792.398874999999,1,381
1125,-793.744249999999,1,319
43,-1509.27825,1,460
1126,-1302.1813750000001,1,599
1127,-728.0281249999986,1,334
1128,-198.9312500000001,1,157
44,-4073.4720000000048,0,1000
1129,-268.7838750000002,1,187
1130,-1197.623500000001,1,545
45,-3887.8095000000017,0,1000
1131,-966.7496249999976,1,522
1132,-588.1262499999996,1,322
1133,-159.08150000000012,1,133
1134,-263.95450000000005,1,162
