episode,return
1,-54
51,-54
101,-54
151,-54
201,-54
251,-54
301,-54
351,-54
401,-54
451,-54
501,-54
551,-54
601,-54
651,-54
701,-54
751,-54
801,-54
851,-54
901,-54
951,-54
